code,pre,city,city_kana
11002,1,札幌市,サッポロシ
12025,1,函館市,ハコダテシ
12033,1,小樽市,オタルシ
12041,1,旭川市,アサヒカワシ
12050,1,室蘭市,ムロランシ
12068,1,釧路市,クシロシ
12076,1,帯広市,オビヒロシ
12084,1,北見市,キタミシ
12092,1,夕張市,ユウバリシ
12106,1,岩見沢市,イワミザワシ
12114,1,網走市,アバシリシ
12122,1,留萌市,ルモイシ
12131,1,苫小牧市,トマコマイシ
12149,1,稚内市,ワッカナイシ
12157,1,美唄市,ビバイシ
12165,1,芦別市,アシベツシ
12173,1,江別市,エベツシ
12181,1,赤平市,アカビラシ
12190,1,紋別市,モンベツシ
12203,1,士別市,シベツシ
12211,1,名寄市,ナヨロシ
12220,1,三笠市,ミカサシ
12238,1,根室市,ネムロシ
12246,1,千歳市,チトセシ
12254,1,滝川市,タキカワシ
12262,1,砂川市,スナガワシ
12271,1,歌志内市,ウタシナイシ
12289,1,深川市,フカガワシ
12297,1,富良野市,フラノシ
12301,1,登別市,ノボリベツシ
12319,1,恵庭市,エニワシ
12335,1,伊達市,ダテシ
12343,1,北広島市,キタヒロシマシ
12351,1,石狩市,イシカリシ
12360,1,北斗市,ホクトシ
13030,1,当別町,トウベツチョウ
13048,1,新篠津村,シンシノツムラ
13315,1,松前町,マツマエチョウ
13323,1,福島町,フクシマチョウ
13331,1,知内町,シリウチチョウ
13340,1,木古内町,キコナイチョウ
13374,1,七飯町,ナナエチョウ
13439,1,鹿部町,シカベチョウ
13455,1,森町,モリマチ
13463,1,八雲町,ヤクモチョウ
13471,1,長万部町,オシャマンベチョウ
13617,1,江差町,エサシチョウ
13625,1,上ノ国町,カミノクニチョウ
13633,1,厚沢部町,アッサブチョウ
13641,1,乙部町,オトベチョウ
13676,1,奥尻町,オクシリチョウ
13706,1,今金町,イマカネチョウ
13714,1,せたな町,セタナチョウ
13919,1,島牧村,シママキムラ
13927,1,寿都町,スッツチョウ
13935,1,黒松内町,クロマツナイチョウ
13943,1,蘭越町,ランコシチョウ
13951,1,ニセコ町,ニセコチョウ
13960,1,真狩村,マッカリムラ
13978,1,留寿都村,ルスツムラ
13986,1,喜茂別町,キモベツチョウ
13994,1,京極町,キョウゴクチョウ
14001,1,倶知安町,クッチャンチョウ
14010,1,共和町,キョウワチョウ
14028,1,岩内町,イワナイチョウ
14036,1,泊村,トマリムラ
14044,1,神恵内村,カモエナイムラ
14052,1,積丹町,シャコタンチョウ
14061,1,古平町,フルビラチョウ
14079,1,仁木町,ニキチョウ
14087,1,余市町,ヨイチチョウ
14095,1,赤井川村,アカイガワムラ
14231,1,南幌町,ナンポロチョウ
14249,1,奈井江町,ナイエチョウ
14257,1,上砂川町,カミスナガワチョウ
14273,1,由仁町,ユニチョウ
14281,1,長沼町,ナガヌマチョウ
14290,1,栗山町,クリヤマチョウ
